FileName;SamplingFreq;SamplesQty;Replica;TimeTag;Time(ns)
./test/square_50Hz.txt;16384;16384;4;Delta Time_0->3;122241075
./test/square_50Hz.txt;16384;16384;4;Delta Time_3->4;2329302101
./test/square_50Hz.txt;16384;16384;4;Delta Time_5->6;171915462
./test/square_50Hz.txt;16384;16384;4;Delta Time_7->10;2274393107
./test/square_50Hz.txt;16384;16384;4;Delta Time_8->9;000523065
./test/square_50Hz.txt;16384;16384;5;Time_0;26013556883118781
./test/square_50Hz.txt;16384;16384;5;Time_1;26013556883391369
./test/square_50Hz.txt;16384;16384;5;Time_2;26013556902760988
./test/square_50Hz.txt;16384;16384;5;Time_3;26013556989447018
./test/square_50Hz.txt;16384;16384;5;Time_4;26013559313807580
./test/square_50Hz.txt;16384;16384;5;Time_5;26013545983674011
./test/square_50Hz.txt;16384;16384;5;Time_6;26013546155589473
./test/square_50Hz.txt;16384;16384;5;Time_7;26013556989484608
./test/square_50Hz.txt;16384;16384;5;Time_8;26013556989484928
./test/square_50Hz.txt;16384;16384;5;Delta Time_1->2;019369619
./test/square_50Hz.txt;16384;16384;5;Delta Time_0->3;106328237
./test/square_50Hz.txt;16384;16384;5;Delta Time_3->4;2324360562
./test/square_50Hz.txt;16384;16384;5;Delta Time_5->6;171915462
./test/square_50Hz.txt;16384;16384;5;Delta Time_7->10;2266188605
./test/square_50Hz.txt;16384;16384;5;Delta Time_8->9;000590535
./test/square_50Hz.txt;16384;16384;6;Time_0;26013559440187450
./test/square_50Hz.txt;16384;16384;6;Time_1;26013559440461738
./test/square_50Hz.txt;16384;16384;6;Time_2;26013559459874087
./test/square_50Hz.txt;16384;16384;6;Time_3;26013559545871602
./test/square_50Hz.txt;16384;16384;6;Time_4;26013561911896278
./test/square_50Hz.txt;16384;16384;6;Time_5;26013545983674011
./test/square_50Hz.txt;16384;16384;6;Time_6;26013546155589473
./test/square_50Hz.txt;16384;16384;6;Time_7;26013559546177710
./test/square_50Hz.txt;16384;16384;6;Time_8;26013559546177950
./test/square_50Hz.txt;16384;16384;6;Delta Time_1->2;019412349
./test/square_50Hz.txt;16384;16384;6;Delta Time_0->3;105684152
./test/square_50Hz.txt;16384;16384;6;Delta Time_3->4;2366024676
./test/square_50Hz.txt;16384;16384;6;Delta Time_5->6;171915462
./test/square_50Hz.txt;16384;16384;6;Delta Time_7->10;2273602683
./test/square_50Hz.txt;16384;16384;6;Delta Time_8->9;000457336
./test/square_50Hz.txt;16384;16384;7;Time_0;26013562015430178
./test/square_50Hz.txt;16384;16384;7;Time_1;26013562015737856
./test/square_50Hz.txt;16384;16384;7;Time_2;26013562035214824
./test/square_50Hz.txt;16384;16384;7;Time_3;26013562130426303
./test/square_50Hz.txt;16384;16384;7;Time_4;26013564452927400
./test/square_50Hz.txt;16384;16384;7;Time_5;26013545983674011
./test/square_50Hz.txt;16384;16384;7;Time_6;26013546155589473
./test/square_50Hz.txt;16384;16384;7;Time_7;26013562130666531
./test/square_50Hz.txt;16384;16384;7;Time_8;26013562130666951
./test/square_50Hz.txt;16384;16384;7;Delta Time_1->2;019476968
./test/square_50Hz.txt;16384;16384;7;Delta Time_0->3;114996125
./test/square_50Hz.txt;16384;16384;7;Delta Time_3->4;2322501097
./test/square_50Hz.txt;16384;16384;7;Delta Time_5->6;171915462
./test/square_50Hz.txt;16384;16384;7;Delta Time_7->10;2277940738
./test/square_50Hz.txt;16384;16384;7;Delta Time_8->9;000536856
./test/square_50Hz.txt;16384;16384;8;Time_0;26013564560814454
./test/square_50Hz.txt;16384;16384;8;Time_1;26013564561127052
./test/square_50Hz.txt;16384;16384;8;Time_2;26013564579744057
./test/square_50Hz.txt;16384;16384;8;Time_3;26013564669760599
